alpha11,beta11,az_angle,el_angle,simulation_time
8,2,10,110,37.2513046265
8,2,15,90,38.7044754028
8,2,15,95,38.9388504028
8,2,15,100,50.8298797607
8,2,15,105,38.4231643677
8,2,15,110,36.6418533325
8,2,20,90,37.0637054443
8,2,20,95,37.1731262207
8,2,20,100,34.6417541504
8,2,20,105,32.5167007446
8,2,20,110,32.6417007446
8,4,0,90,32.5791778564
8,4,0,95,36.5792999268
8,4,0,100,38.5637588501
8,4,0,105,28.5633773804
8,4,0,110,36.6105194092
8,4,5,90,32.7041702271
8,4,5,95,38.6887054443
8,4,5,100,36.7042312622
8,4,5,105,42.9856796265
8,4,5,110,34.5323028564
8,4,10,90,40.6262435913
8,4,10,95,38.6261291504
8,4,10,100,43.0012588501
8,4,10,105,38.6573791504
8,4,10,110,36.7510528564
8,4,15,90,36.7510147095
8,4,15,95,38.6104660034
8,4,15,100,36.5791931152
8,4,15,105,32.6102905273
8,4,15,110,36.5635223389
8,4,20,90,34.6103668213
8,4,20,95,37.2197875977
8,4,20,100,38.4229202271
8,4,20,105,32.8915481567
8,4,20,110,34.6103210449
8,6,0,90,29.2351455688
8,6,0,95,38.7515563965
8,6,0,100,38.7041702271
8,6,0,105,34.6571960449
8,6,0,110,38.3760147095
8,6,5,90,39.2666625977
8,6,5,95,40.4541625977
8,6,5,100,44.6730270386
8,6,5,105,33.1101989746
8,6,5,110,34.6571578979
8,6,10,90,38.7197570801
8,6,10,95,50.6418838501
8,6,10,100,38.6259307861
8,6,10,105,38.6259307861
8,6,10,110,36.6727523804
8,6,15,90,38.6884384155
8,6,15,95,38.7509384155
8,6,15,100,37.0009078979
8,6,15,105,36.8758773804
8,6,15,110,32.5632781982
8,6,20,90,48.7667770386
8,6,20,95,38.7352981567
8,6,20,100,40.6884765625
8,6,20,105,36.7664794922
8,6,20,110,34.3445205688
8,8,0,90,26.4849700928
8,8,0,95,41.4697113037
8,8,0,100,38.4227218628
8,8,0,105,34.6570129395
8,8,0,110,36.8914413452
8,8,5,90,40.4226913452
8,8,5,95,34.6569824219
8,8,5,100,36.3601913452
8,8,5,105,38.6414566040
8,8,5,110,34.5944671631
8,8,10,90,36.8288879395
8,8,10,95,42.9227523804
8,8,10,100,51.4541625977
8,8,10,105,38.7976837158
8,8,10,110,34.6882095337
8,8,15,90,38.7353820801
8,8,15,95,33.2506637573
8,8,15,100,38.6882858276
8,8,15,105,34.6882171631
8,8,15,110,31.0474853516
8,8,20,90,35.1568832397
8,8,20,95,36.6881637573
8,8,20,100,38.5007400513
8,8,20,105,40.8133087158
8,8,20,110,33.3444137573
